Site,Page,Titre,Prix,Auteur,Note,Nombre de Notes
Decitre,3,"Le Chat du bibliothécaire Tome 3 Théâtre macabre","9,70 €","Miranda James",4,5,2
Decitre,3,"Les meurtres zen Tome 1 Des meurtres qui font du bien. Un roman policier décéléré","9,20 €","Karsten Dusse",4,5,2
Decitre,3,"Solak","7,50 €","Caroline Hinault",0,0,0
Decitre,3,"De la jalousie","13,99 €","Jo Nesbo",0,0,0
Decitre,3,"De la jalousie","8,20 €","Jo Nesbo",0,0,0
Decitre,3,"Ca aurait pu être le paradis","9,50 €","Camilla Grebe, Asa Träff",0,0,0
Decitre,3,"Ça aurait pu être le paradis","9,49 €","Camilla Grebe, Asa Träff",0,0,0
Decitre,3,"Car un jour de vengeance","9,20 €","Alexandra Julhiet",0,0,0
Decitre,3,"Une enquête du commissaire Adamsberg Pars vite et reviens tard","8,99 €","Fred Vargas",0,0,0
Decitre,3,"Pars vite et reviens tard","9,20 €","Fred Vargas",0,0,0
Decitre,3,"Les Francs Royaumes Tome 2 La fureur de Frédégonde","8,50 €","Eric Fouassier",0,0,0
Decitre,3,"Les enquêtes d'Hannah Swensen Tome 4 Meurtres et tarte au citron meringuée","8,49 €","Joanne Fluke",0,0,0
Decitre,3,"Mini-Loup Tome 34 Mini-Loup Policier. Avec 1 figurine","9,70 €","Philippe Matter",0,0,0
Decitre,3,"Arsène Lupin, gentleman cambrioleur - Texte intégral","6,95 €","Maurice Leblanc",0,0,0
Decitre,3,"Avec tes yeux","8,95 €","Cédric Sire",0,0,0
Decitre,3,"Avec tes yeux","5,49 €","Cédric Sire",0,0,0
Decitre,3,"La saignée","9,90 €","Cédric Sire",0,0,0
Decitre,3,"La Saignée","9,49 €","Cédric Sire",0,0,0
Decitre,4,"Le Chat du bibliothécaire Tome 5 Admiration funeste","10,00 €","Miranda James",4,5,2
Decitre,4,"Reykjavík","159,99 €","Katrín Jakobsdóttir, Ragnar Jónasson",3,5,3
Decitre,4,"Le meurtre de Harriet Monckton","7,50 €","Elizabeth Haynes",4,0,66
Decitre,4,"La dame de Reykjavik","15,99 €","Ragnar Jónasson",4,5,5
Decitre,4,"Policier, fable et article de presse CM. 3 projets d'écriture pas à pas","9,90 €","Juliette Doberva",4,0,73
Decitre,4,"Huit crimes parfaits. Un roman policier qui joue avec les classiques du genre.Le commentaire qui revient le plus : un régal !","8,70 €","Peter Swanson",5,0,5
Decitre,4,"Cupidité","5,50 €","Deon Meyer",4,5,17
Decitre,4,"Cupidité","7,99 €","Deon Meyer",4,5,17
Decitre,4,"Sa Majesté mène l'enquête Tome 1 Bal tragique à Windsor","10,50 €","S.J. Bennett",4,0,3
Decitre,4,"D'argent et de sang","9,99 €","Fabrice Arfi",4,0,3
Decitre,4,"Une enquête du commissaire Adamsberg L'homme aux cercles bleus","7,90 €","Fred Vargas",4,0,43
Decitre,4,"L'ange de Munich","8,40 €","Fabiano Massimi",4,5,2
Decitre,4,"L'homme aux cercles bleus","8,00 €","Fred Vargas",4,0,1
Decitre,4,"La griffe du chien","9,90 €","Don Winslow",4,5,3
Decitre,4,"Jusqu'à ce que la mort nous unisse","7,99 €","Karine Giebel",0,0,0
Decitre,4,"Jusqu'à ce que la mort nous unisse","11,40 €","Karine Giebel",0,0,0
Decitre,4,"Le club des amateurs de romans policiers Tome 1 Ils étaient sept","9,99 €","C.A. Larmer",0,0,0
Decitre,4,"Le club des amateurs de romans policiers Tome 1 Ils étaient sept","8,60 €","C.A. Larmer",0,0,0
Decitre,4,"Kasso","8,30 €","Jacky Schwartzmann",0,0,0
Decitre,4,"Plus amère que la mort","9,99 €","Camilla Grebe, Asa Träff",0,0,0
Decitre,4,"Le carnet des rancunes","7,90 €","Jacques Expert",0,0,0
Decitre,4,"Plus amère que la mort","9,40 €","Camilla Grebe, Asa Träff",0,0,0
Decitre,4,"Le Poète","8,90 €","Michael Connelly",0,0,0
Decitre,4,"Le Chat du bibliothécaire Tome 4 Sinistre réputation","8,99 €","Miranda James",0,0,0
Decitre,4,"Le Chat du bibliothécaire Tome 4 Sinistre réputation","10,40 €","Miranda James",0,0,0
Decitre,4,"La femme de chambre","7,50 €","Nita Prose",0,0,0
Decitre,4,"L'agent Seventeen","7,49 €","John Brownlow",0,0,0
Decitre,4,"Avant de sombrer","9,20 €","Cyril Carrère",0,0,0
Decitre,4,"L'agent Seventeen","10,50 €","John Brownlow",0,0,0
Decitre,4,"Finlay Donovan est mortelle Tome 1 Comment j'ai tué ton mari","9,50 €","Elle Cosimano",0,0,0
Decitre,5,"Amour, meurtre et pandémie","10,00 €","Xiaolong Qiu",5,0,2
Decitre,5,"Tokyo Detective. Enquêtes, crimes et rédemptions au pays du Soleil-Levant","159,99 €","Jake Adelstein",4,5,2
Decitre,5,"Mauvaise graine. Couronné "meilleur premier roman de l'année 2021" par l'Académie suédoise du roman policier","8,40 €","Sara Strömberg",4,5,2
Decitre,5,"Okavango","9,90 €","Caryl Férey",5,0,1
Decitre,5,"Le club des amateurs de romans policiers Tome 3 Meurtre sous les étoiles","14,99 €","C.A. Larmer",4,0,16
Decitre,5,"Echo Park","9,99 €","Michael Connelly",3,0,1
Decitre,5,"Le club des amateurs de romans policiers Tome 3 Meurtre sous les étoiles","15,90 €","C.A. Larmer",3,0,1
Decitre,5,"Wyndham et Banerjee Tome 1 L’attaque du Calcutta-Darjeeling","9,90 €","Abir Mukherjee",4,0,1
Decitre,5,"Le bonhomme de neige. Une enquête de l'inspecteur Harry Hole","9,99 €","Jo Nesbo",4,0,1
Decitre,5,"Le bonhomme de neige. Une enquête de l'inspecteur Harry Hole","9,50 €","Jo Nesbo",5,0,1
Decitre,5,"La trilogie des ombres Tome 3 Le sacre des impies","10,00 €","Ghislain Gilberti",5,0,2
Decitre,5,"Les dames de Marlow enquêtent Tome 2 Il suffira d'un cygne","9,99 €","Robert Thorogood",5,0,1
Decitre,5,"Le labyrinthe des femmes","10,20 €","Coline Gatel",3,0,1
Decitre,5,"Echos des années grises Tome 3 La cour des mirages","10,99 €","Benjamin Dierstein",3,0,1
Decitre,5,"Deux nuits à Lisbonne","9,70 €","Chris Pavone",3,0,1
Decitre,5,"Deux nuits à Lisbonne","11,40 €","Chris Pavone",0,0,0
Decitre,5,"Six Versions Tome 1 Les Orphelins du Mont Scarclaw","10,50 €","Matt Wesolowski",0,0,0
Decitre,5,"Autopsie","9,99 €","Patricia Cornwell",0,0,0
Decitre,5,"Fils de personne. Prix du Quai des Orfèvres 2023","8,40 €","Jean-François Pasques",0,0,0
Decitre,5,"Ce n'est qu'un début, commissaire Soneri","9,40 €","Valerio Varesi",0,0,0
Decitre,5,"La dernière tempête","6,99 €","Ragnar Jónasson",0,0,0
Decitre,5,"La maison des voix","9,30 €","Donato Carrisi",0,0,0
Decitre,5,"L'Innocence et la Loi","8,40 €","Michael Connelly",0,0,0
Decitre,5,"Le Cas Nelson Kerr","8,90 €","John Grisham",0,0,0
